id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
4,2016-11-20 22:43:46.613813,,,,,,f,,participant,A3696JXTRKL2FI,3WJ1OXY92AGODKWWYCSZR2KEZI48A6,A3696JXTRKL2FI:3WJ1OXY92AGODKWWYCSZR2KEZI48A6,3JHB4BPSFK9DRLOT2XQXSEZ7AH89QU,live,2016-11-20 22:45:07.902858,,,returned
5,2016-11-20 22:43:53.156374,,,,,,f,,participant,A154X03NKVZZL1,3PJUZCGDJ6GA81MR66EZV79UT0M89R,A154X03NKVZZL1:3PJUZCGDJ6GA81MR66EZV79UT0M89R,3JHB4BPSFK9DRLOT2XQXSEZ7AH89QU,live,2016-11-20 22:46:36.450361,,,returned
1,2016-11-20 22:40:56.177841,,,,,,f,,participant,AXLMOFXKXSU0B,3M68NM076H7T8NZP78HN2EDXTR26RQ,AXLMOFXKXSU0B:3M68NM076H7T8NZP78HN2EDXTR26RQ,3JHB4BPSFK9DRLOT2XQXSEZ7AH89QU,live,2016-11-20 22:46:56.697747,2,0,approved
3,2016-11-20 22:42:05.038065,,,,,,f,,participant,A3770CWO9OHZDN,3MYYFCXHJ37O4AMX89UW6CFCVRLG4J,A3770CWO9OHZDN:3MYYFCXHJ37O4AMX89UW6CFCVRLG4J,3JHB4BPSFK9DRLOT2XQXSEZ7AH89QU,live,2016-11-20 22:46:57.338532,2,0,approved
6,2016-11-20 22:45:49.187596,,,,,,f,,participant,ATKG4FI2S5MVL,3WJ1OXY92AGODKWWYCSZR2KEZI48A6,ATKG4FI2S5MVL:3WJ1OXY92AGODKWWYCSZR2KEZI48A6,3JHB4BPSFK9DRLOT2XQXSEZ7AH89QU,live,2016-11-20 22:46:57.419162,2,0,approved
2,2016-11-20 22:41:14.359629,,,,,,f,,participant,A27BPRHBM28XZS,3SBEHTYCWN3IY86CN4I67DWZ55BYID,A27BPRHBM28XZS:3SBEHTYCWN3IY86CN4I67DWZ55BYID,3JHB4BPSFK9DRLOT2XQXSEZ7AH89QU,live,2016-11-20 22:46:58.071534,2,0,approved
7,2016-11-20 23:00:27.055702,,,,,,f,,participant,A2HHGI5CNSS5PD,3PJUZCGDJ6GA81MR66EZV79UT0M89R,A2HHGI5CNSS5PD:3PJUZCGDJ6GA81MR66EZV79UT0M89R,3JHB4BPSFK9DRLOT2XQXSEZ7AH89QU,live,,,,working
8,2016-11-20 23:07:38.139528,,,,,,f,,participant,A149ROBL26JWPJ,30IQTZXKAK6IR8ZMEI7YIVPUH510XF,A149ROBL26JWPJ:30IQTZXKAK6IR8ZMEI7YIVPUH510XF,3JHB4BPSFK9DRLOT2XQXSEZ7AH89QU,live,,,,working
